Freq.	V(out)
2.03207629041024e+001	(2.97660808257144e-002dB,-1.65520977318234e+002°)
2.07940942775667e+001	(1.82215761427797e-001dB,-1.70856954377242e+002°)
2.12784509550594e+001	(3.41368553264918e-001dB,-1.76847473337445e+002°)
2.17740897489020e+001	(4.89679687668612e-001dB,1.76378329465819e+002°)
2.22812734533436e+001	(5.98945144125346e-001dB,1.68700331402473e+002°)
2.28002709838977e+001	(6.28085882761414e-001dB,1.60045956100880e+002°)
2.33313575199247e+001	(5.24572945985449e-001dB,1.50449608916050e+002°)
2.38748146505358e+001	(2.33196380599830e-001dB,1.40114292707640e+002°)
2.44309305238952e+001	(-2.87209016643326e-001dB,1.29427848605745e+002°)
2.49999999999999e+001	(-1.04669474158763e+000dB,1.18888350513789e+002°)
2.55823248070188e+001	(-2.01939743945269e+000dB,1.08960114026216e+002°)
2.61782137012724e+001	(-3.15513694572349e+000dB,9.99519978705025e+001°)
2.67879826309401e+001	(-4.39783458084588e+000dB,9.19858732868303e+001°)
2.74119549035795e+001	(-5.69907535637606e+000dB,8.50401530369876e+001°)
2.80504613575490e+001	(-7.02321488573159e+000dB,7.90146801867305e+001°)
2.87038405374220e+001	(-8.34673270029961e+000dB,7.37815721939883e+001°)
2.93724388734881e+001	(-9.65540515333043e+000dB,6.92143353027891e+001°)
3.00566108654352e+001	(-1.09413801523135e+001dB,6.52006655294039e+001°)
3.07567192703094e+001	(-1.22008874227347e+001dB,6.16460193143571e+001°)
3.14731352948541e+001	(-1.34326515701611e+001dB,5.84728892884077e+001°)
3.22062387923283e+001	(-1.46368599122002e+001dB,5.56184976537924e+001°)
3.29564184639101e+001	(-1.58145152911830e+001dB,5.30321899015359e+001°)
3.37240720647912e+001	(-1.69670399523582e+001dB,5.06730502935506e+001°)
3.45096066150720e+001	(-1.80960379096123e+001dB,4.85078995609024e+001°)
3.53134386155687e+001	(-1.92031555695794e+001dB,4.65096814346580e+001°)
3.61359942686481e+001	(-2.02900025981282e+001dB,4.46561888248930e+001°)
3.69777097042051e+001	(-2.13581093948365e+001dB,4.29290675649381e+001°)
3.78390312109051e+001	(-2.24089065904106e+001dB,4.13130396298793e+001°)
3.87204154728119e+001	(-2.34437175999217e+001dB,3.97952970466600e+001°)
3.96223298115277e+001	(-2.44637587332099e+001dB,3.83650275554738e+001°)
4.05452524339731e+001	(-2.54701435023945e+001dB,3.70130417323748e+001°)
4.14896726859389e+001	(-2.64638890858033e+001dB,3.57314783184262e+001°)
4.24560913115435e+001	(-2.74459237224222e+001dB,3.45135700065646e+001°)
4.34450207187342e+001	(-2.84170943142757e+001dB,3.33534561602921e+001°)
4.44569852509729e+001	(-2.93781738245839e+001dB,3.22460321443007e+001°)
4.54925214652494e+001	(-3.03298682501707e+001dB,3.11868273703403e+001°)
4.65521784165715e+001	(-3.12728230626080e+001dB,3.01719059916637e+001°)
4.76365179490810e+001	(-3.22076290820757e+001dB,2.91977855634112e+001°)
4.87461149939510e+001	(-3.31348277884309e+001dB,2.82613700360934e+001°)
4.98815578742218e+001	(-3.40549160964970e+001dB,2.73598942486779e+001°)
5.10434486167380e+001	(-3.49683506340246e+001dB,2.64908776991923e+001°)
5.22324032713508e+001	(-3.58755515654738e+001dB,2.56520858406678e+001°)
5.34490522375556e+001	(-3.67769060054714e+001dB,2.48414975132568e+001°)
5.46940405987386e+001	(-3.76727710642081e+001dB,2.40572774052554e+001°)
5.59680284642083e+001	(-3.85634765642364e+001dB,2.32977526557957e+001°)
5.72716913191941e+001	(-3.94493274647660e+001dB,2.25613928846270e+001°)
5.86057203829978e+001	(-4.03306060260197e+001dB,2.18467930705792e+001°)
5.99708229754870e+001	(-4.12075737427516e+001dB,2.11526588082400e+001°)
6.13677228921255e+001	(-4.20804730727605e+001dB,2.04777935583598e+001°)
