Freq.	V(out)	frequency
1.84540315621856e+02	(-4.63328775009787e+01dB,1.78415624008351e+02°)	(4.53218251811136e+01dB,0.00000000000000e+00°)
1.88838811769124e+02	(-4.67026907349064e+01dB,1.78133141409817e+02°)	(4.55218251811136e+01dB,0.00000000000000e+00°)
1.93237432753969e+02	(-4.70696904412405e+01dB,1.77844121978368e+02°)	(4.57218251811136e+01dB,0.00000000000000e+00°)
1.97738510783460e+02	(-4.74336389892236e+01dB,1.77548237951905e+02°)	(4.59218251811136e+01dB,0.00000000000000e+00°)
2.02344432388747e+02	(-4.77942798990971e+01dB,1.77245176636868e+02°)	(4.61218251811136e+01dB,0.00000000000000e+00°)
2.07057639690431e+02	(-4.81513368084225e+01dB,1.76934645109142e+02°)	(4.63218251811136e+01dB,0.00000000000000e+00°)
2.11880631693412e+02	(-4.85045124694850e+01dB,1.76616375549492e+02°)	(4.65218251811136e+01dB,0.00000000000000e+00°)
2.16815965611888e+02	(-4.88534877997534e+01dB,1.76290131243401e+02°)	(4.67218251811136e+01dB,0.00000000000000e+00°)
2.21866258225230e+02	(-4.91979210111714e+01dB,1.75955713263912e+02°)	(4.69218251811136e+01dB,0.00000000000000e+00°)
2.27034187265430e+02	(-4.95374468480526e+01dB,1.75612967840859e+02°)	(4.71218251811136e+01dB,0.00000000000000e+00°)
2.32322492836871e+02	(-4.98716759674160e+01dB,1.75261794399936e+02°)	(4.73218251811136e+01dB,0.00000000000000e+00°)
2.37733978869165e+02	(-5.02001944995858e+01dB,1.74902154230042e+02°)	(4.75218251811136e+01dB,0.00000000000000e+00°)
2.43271514603838e+02	(-5.05225638305791e+01dB,1.74534079706709e+02°)	(4.77218251811136e+01dB,0.00000000000000e+00°)
2.48938036115632e+02	(-5.08383206509679e+01dB,1.74157683963124e+02°)	(4.79218251811136e+01dB,0.00000000000000e+00°)
2.54736547869260e+02	(-5.11469773182132e+01dB,1.73773170858358e+02°)	(4.81218251811136e+01dB,0.00000000000000e+00°)
2.60670124312404e+02	(-5.14480225805901e+01dB,1.73380845045541e+02°)	(4.83218251811136e+01dB,0.00000000000000e+00°)
2.66741911505837e+02	(-5.17409227103507e+01dB,1.72981121892041e+02°)	(4.85218251811136e+01dB,0.00000000000000e+00°)
2.72955128791496e+02	(-5.20251230913153e+01dB,1.72574536950978e+02°)	(4.87218251811136e+01dB,0.00000000000000e+00°)
2.79313070499428e+02	(-5.23000503012383e+01dB,1.72161754631227e+02°)	(4.89218251811136e+01dB,0.00000000000000e+00°)
2.85819107694485e+02	(-5.25651147217251e+01dB,1.71743575664863e+02°)	(4.91218251811136e+01dB,0.00000000000000e+00°)
2.92476689963705e+02	(-5.28197136979239e+01dB,1.71320942930803e+02°)	(4.93218251811136e+01dB,0.00000000000000e+00°)
2.99289347245330e+02	(-5.30632352565705e+01dB,1.70894945166056e+02°)	(4.95218251811136e+01dB,0.00000000000000e+00°)
3.00000000000000e+02	(-5.30876640769453e+01dB,1.70850924331361e+02°)	(4.95424250943933e+01dB,0.00000000000000e+00°)
