Freq.	V(out)	frequency
3.06260691700429e+00	(2.75260727676296e-01dB,-1.39710053508448e+01°)	(9.72182518111362e+00dB,0.00000000000000e+00°)
3.13394419628106e+00	(2.87861137350525e-01dB,-1.43243015376710e+01°)	(9.92182518111362e+00dB,0.00000000000000e+00°)
3.20694313425335e+00	(3.01015945608901e-01dB,-1.46878749483663e+01°)	(1.01218251811136e+01dB,0.00000000000000e+00°)
3.28164243592433e+00	(3.14746950251960e-01dB,-1.50621177248089e+01°)	(1.03218251811136e+01dB,0.00000000000000e+00°)
3.35808170785251e+00	(3.29076478072095e-01dB,-1.54474427598239e+01°)	(1.05218251811136e+01dB,0.00000000000000e+00°)
3.43630147915166e+00	(3.44027349266556e-01dB,-1.58442850804288e+01°)	(1.07218251811136e+01dB,0.00000000000000e+00°)
3.51634322297988e+00	(3.59622832401814e-01dB,-1.62531033328958e+01°)	(1.09218251811136e+01dB,0.00000000000000e+00°)
3.59824937852923e+00	(3.75886588433952e-01dB,-1.66743813769344e+01°)	(1.11218251811136e+01dB,0.00000000000000e+00°)
3.68206337352754e+00	(3.92842602071780e-01dB,-1.71086299966757e+01°)	(1.13218251811136e+01dB,0.00000000000000e+00°)
3.76782964726437e+00	(4.10515098520310e-01dB,-1.75563887364748e+01°)	(1.15218251811136e+01dB,0.00000000000000e+00°)
3.85559367415329e+00	(4.28928443357783e-01dB,-1.80182278698480e+01°)	(1.17218251811136e+01dB,0.00000000000000e+00°)
3.94540198784307e+00	(4.48107022973935e-01dB,-1.84947505100873e+01°)	(1.19218251811136e+01dB,0.00000000000000e+00°)
4.03730220589037e+00	(4.68075102626403e-01dB,-1.89865948712291e+01°)	(1.21218251811136e+01dB,0.00000000000000e+00°)
4.13134305500724e+00	(4.88856658748821e-01dB,-1.94944366880570e+01°)	(1.23218251811136e+01dB,0.00000000000000e+00°)
4.22757439689667e+00	(5.10475181662276e-01dB,-2.00189918036424e+01°)	(1.25218251811136e+01dB,0.00000000000000e+00°)
4.32604725468990e+00	(5.32953444293443e-01dB,-2.05610189325268e+01°)	(1.27218251811136e+01dB,0.00000000000000e+00°)
4.42681383999957e+00	(5.56313231880552e-01dB,-2.11213226069346e+01°)	(1.29218251811136e+01dB,0.00000000000000e+00°)
4.52992758060302e+00	(5.80575026943250e-01dB,-2.17007563123174e+01°)	(1.31218251811136e+01dB,0.00000000000000e+00°)
4.63544314877038e+00	(6.05757642995869e-01dB,-2.23002258169229e+01°)	(1.33218251811136e+01dB,0.00000000000000e+00°)
4.74341649025256e+00	(6.31877799586870e-01dB,-2.29206926978610e+01°)	(1.35218251811136e+01dB,0.00000000000000e+00°)
4.85390485394442e+00	(6.58949630241009e-01dB,-2.35631780630983e+01°)	(1.37218251811136e+01dB,0.00000000000000e+00°)
4.96696682223886e+00	(6.86984113758414e-01dB,-2.42287664647841e+01°)	(1.39218251811136e+01dB,0.00000000000000e+00°)
5.08266234208803e+00	(7.15988418079050e-01dB,-2.49186099940170e+01°)	(1.41218251811136e+01dB,0.00000000000000e+00°)
5.20105275678797e+00	(7.45965144550473e-01dB,-2.56339325403193e+01°)	(1.43218251811136e+01dB,0.00000000000000e+00°)
5.32220083850362e+00	(7.76911458941454e-01dB,-2.63760341903207e+01°)	(1.45218251811136e+01dB,0.00000000000000e+00°)
5.44617082155151e+00	(8.08818093933970e-01dB,-2.71462957290349e+01°)	(1.47218251811136e+01dB,0.00000000000000e+00°)
5.57302843645758e+00	(8.41668206119220e-01dB,-2.79461831931106e+01°)	(1.49218251811136e+01dB,0.00000000000000e+00°)
5.70284094480841e+00	(8.75436068751766e-01dB,-2.87772524079564e+01°)	(1.51218251811136e+01dB,0.00000000000000e+00°)
5.83567717491420e+00	(9.10085579733009e-01dB,-2.96411534189525e+01°)	(1.53218251811136e+01dB,0.00000000000000e+00°)
5.97160755830245e+00	(9.45568562577622e-01dB,-3.05396347002611e+01°)	(1.55218251811136e+01dB,0.00000000000000e+00°)
6.11070416706168e+00	(9.81822836578743e-01dB,-3.14745469921202e+01°)	(1.57218251811136e+01dB,0.00000000000000e+00°)
6.25304075205502e+00	(1.01877003118759e+00dB,-3.24478465779502e+01°)	(1.59218251811136e+01dB,0.00000000000000e+00°)
6.39869278202388e+00	(1.05631311897993e+00dB,-3.34615977650652e+01°)	(1.61218251811136e+01dB,0.00000000000000e+00°)
6.54773748360248e+00	(1.09433364178827e+00dB,-3.45179742762257e+01°)	(1.63218251811136e+01dB,0.00000000000000e+00°)
6.70025388226443e+00	(1.13268860602217e+00dB,-3.56192591927470e+01°)	(1.65218251811136e+01dB,0.00000000000000e+00°)
6.85632284422311e+00	(1.17120702638024e+00dB,-3.67678430127084e+01°)	(1.67218251811136e+01dB,0.00000000000000e+00°)
7.01602711930796e+00	(1.20968610271072e+00dB,-3.79662192997847e+01°)	(1.69218251811136e+01dB,0.00000000000000e+00°)
7.17945138483956e+00	(1.24788702349007e+00dB,-3.92169772999213e+01°)	(1.71218251811136e+01dB,0.00000000000000e+00°)
7.34668229052668e+00	(1.28553040220951e+00dB,-4.05227907963063e+01°)	(1.73218251811136e+01dB,0.00000000000000e+00°)
7.51780850440907e+00	(1.32229137099620e+00dB,-4.18864023614615e+01°)	(1.75218251811136e+01dB,0.00000000000000e+00°)
7.69292075987046e+00	(1.35779438028924e+00dB,-4.33106020548870e+01°)	(1.77218251811136e+01dB,0.00000000000000e+00°)
7.87211190374657e+00	(1.39160778564042e+00dB,-4.47981995150624e+01°)	(1.79218251811136e+01dB,0.00000000000000e+00°)
8.05547694555377e+00	(1.42323834395693e+00dB,-4.63519883195864e+01°)	(1.81218251811136e+01dB,0.00000000000000e+00°)
8.24311310786435e+00	(1.45212579271097e+00dB,-4.79747014560186e+01°)	(1.83218251811136e+01dB,0.00000000000000e+00°)
8.43511987785522e+00	(1.47763774719197e+00dB,-4.96689567838899e+01°)	(1.85218251811136e+01dB,0.00000000000000e+00°)
8.63159906005733e+00	(1.49906522212264e+00dB,-5.14371915070612e+01°)	(1.87218251811136e+01dB,0.00000000000000e+00°)
8.83265483033381e+00	(1.51561916265940e+00dB,-5.32815849525402e+01°)	(1.89218251811136e+01dB,0.00000000000000e+00°)
9.03839379111534e+00	(1.52642845143226e+00dB,-5.52039694077480e+01°)	(1.91218251811136e+01dB,0.00000000000000e+00°)
9.24892502792221e+00	(1.53053993534978e+00dB,-5.72057294425422e+01°)	(1.93218251811136e+01dB,0.00000000000000e+00°)
9.46436016720287e+00	(1.52692107732785e+00dB,-5.92876910654566e+01°)	(1.95218251811136e+01dB,0.00000000000000e+00°)
9.68481343551981e+00	(1.51446586903179e+00dB,-6.14500032458377e+01°)	(1.97218251811136e+01dB,0.00000000000000e+00°)
9.91040172011392e+00	(1.49200462297114e+00dB,-6.36920157505063e+01°)	(1.99218251811136e+01dB,0.00000000000000e+00°)
1.01412446308797e+01	(1.45831817595552e+00dB,-6.60121588205913e+01°)	(2.01218251811136e+01dB,0.00000000000000e+00°)
