Freq.	V(out)
6.45856530086502e-01	(1.66787327070126e-01dB,8.82697404354534e+01°)
6.60900461256282e-01	(1.69494616700161e-01dB,8.56139757390702e+01°)
6.76294810598671e-01	(1.67664294572615e-01dB,8.30710371932721e+01°)
6.92047740401460e-01	(1.62342790106048e-01dB,8.06347242603688e+01°)
7.08167603076545e-01	(1.54403657963179e-01dB,7.82988705548831e+01°)
7.24662945588487e-01	(1.44569338992613e-01dB,7.60574575083156e+01°)
7.41542513986228e-01	(1.33431754521592e-01dB,7.39046934622295e+01°)
7.58815258040360e-01	(1.21471220057049e-01dB,7.18350653864702e+01°)
7.76490335988413e-01	(1.09073434387616e-01dB,6.98433694604088e+01°)
7.94577119390671e-01	(9.65444841298262e-02dB,6.79247257271223e+01°)
8.13085198099102e-01	(8.41239220565839e-02dB,6.60745810490827e+01°)
8.32024385342020e-01	(7.19960477773973e-02dB,6.42887037184471e+01°)
8.51404722927190e-01	(6.02995558792759e-02dB,6.25631723282796e+01°)
8.71236486566131e-01	(4.91357305397008e-02dB,6.08943608942566e+01°)
8.91530191322427e-01	(3.85753650323222e-02dB,5.92789217192761e+01°)
9.12296597186960e-01	(2.86645752560343e-02dB,5.77137671003946e+01°)
9.33546714782994e-01	(1.94296624073662e-02dB,5.61960506718293e+01°)
9.55291811204157e-01	(1.08811638268730e-02dB,5.47231489433044e+01°)
9.77543415988403e-01	(3.01721456470441e-03dB,5.32926434155079e+01°)
1.00031332723112e+00	(-4.17367365618859e-03dB,5.19023035217125e+01°)
1.02361361784065e+00	(-1.07103240852855e-02dB,5.05500705466784e+01°)
1.04745664193949e+00	(-1.66170184400906e-02dB,4.92340426027251e+01°)
1.07185504141461e+00	(-2.19219652017898e-02dB,4.79524606919240e+01°)
1.09682175262037e+00	(-2.66560558790268e-02dB,4.67036958477145e+01°)
1.12237001323752e+00	(-3.08518612312409e-02dB,4.54862373250040e+01°)
1.14851336929201e+00	(-3.45428270088086e-02dB,4.42986817919976e+01°)
1.17526568233727e+00	(-3.77626352114624e-02dB,4.31397234673556e+01°)
1.20264113680379e+00	(-4.05447023366163e-02dB,4.20081451410771e+01°)
1.23065424751988e+00	(-4.29217907107313e-02dB,4.09028100154791e+01°)
1.25931986740763e+00	(-4.49257128971714e-02dB,3.98226543028205e+01°)
1.28865319535816e+00	(-4.65871124558005e-02dB,3.87666805177952e+01°)
1.31866978429021e+00	(-4.79353070869116e-02dB,3.77339514057788e+01°)
1.34938554939654e+00	(-4.89981825100070e-02dB,3.67235844509683e+01°)
1.38081677658240e+00	(-4.98021273697590e-02dB,3.57347469121435e+01°)
1.41298013110047e+00	(-5.03720010923740e-02dB,3.47666513374933e+01°)
1.44589266638705e+00	(-5.07311279809101e-02dB,3.38185515136734e+01°)
1.47957183310400e+00	(-5.09013119836944e-02dB,3.28897388078879e+01°)
1.51403548839132e+00	(-5.09028675288430e-02dB,3.19795388652669e+01°)
1.54930190533520e+00	(-5.07546626216035e-02dB,3.10873086270961e+01°)
1.58538978265673e+00	(-5.04741710736899e-02dB,3.02124336385411e+01°)
1.62231825462614e+00	(-5.00775312976266e-02dB,2.93543256173690e+01°)
1.66010690120808e+00	(-4.95796095692513e-02dB,2.85124202578195e+01°)
1.69877575844314e+00	(-4.89940660561680e-02dB,2.76861752462101e+01°)
1.73834532907129e+00	(-4.83334222384985e-02dB,2.68750684670938e+01°)
1.77883659340263e+00	(-4.76091286223564e-02dB,2.60785963808227e+01°)
1.82027102044148e+00	(-4.68316318755798e-02dB,2.52962725552330e+01°)
1.86267057926951e+00	(-4.60104407045905e-02dB,2.45276263358506e+01°)
